ACTIVER;LIAI;DESIGNATION;;SECT;TEINT;TEINT2;ISO;LONG;LONG CP;Long_Add;Long_Add2;COUPE;POS;POS-OUT;FA;APP;VOI;Ref Connecteur;Ref Connecteur_Four;Ref Clip;Ref Clip Four;PRECO;Ref Joint;Ref Joint Four;POS2;POS-OUT2;FA2;APP2;VOI2;Ref Connecteur2;Ref Connecteur_Four2;Ref Clip2;Ref Clip Four2;PRECO2;Ref Joint2;Ref Joint Four2;PRECOG;OPTION;CritŠres sp‚cifiques;Commentaires
-1;;+ BATT PROT/ UPC;;0.75;RG;;;1085;1385;;;;;D13;27;;;243427Y018;;;;;;;;E11;15;;;243427Y003;;;;;;;;ALL;;
0;BP27;+ BATT PROT/FUS FONCS MOTEUR;107;5;RG;;A3Z;700;850;;;;;K14;33;1550.AB;5;8200351176;;;;;;;;H14;60;777.AB;1;7703197661;;;;;;;;ALL;;
-1;;+ BATT PROT/FUS FONCS MOTEUR;;2.5;RG;;;785;1085;;;;;F14;26;;;24342AR443;;;;;;;;G14;49;;;8200244640;;;;;;;;ALL;;
-1;;+ BATT PROT/FUS INJ/POMPE ES;;2;RG;;;1210;1510;;;;;D12;14;;;8200500167;;;;;;;;E14;25;;;8200382789;;;;;;;;ALL;;
-1;;+ BATT PROT/FUS BT PRECHAUF.;;5;RG;;;720;870;;;;;J14;48;;;8200351176;;;;;;;;H14;59;;;7703197855;;;;;;;;ALL;;
0;BP35;+ BATT PROT/FUS BT PRECHAUF.;111;5;RG;;A3Z;720;870;;;;;K14;33;1550.AB;4;8200351176;;;;;;;;H14;59;777.AA;2;7703197855;;;;DBS01;;;;ALL;;
-1;;+ BATT PROT/FUS GMV;;7;RG;;;195;345;;;;;H14;59;;;7703197855;;;;;;;;H12;67;;;EP10;;;;;;;;ALL;;
-1;;+ BATT PROT/FUS GMV;;5;RG;;;445;595;;;;;H12;67;;;EP10;;;;;;;;G14;49;;;8200244640;;;;;;;;ALL;;
-1;;+ BATT PROT/FUS GMV;;4;RG;;;445;595;;;;;H12;67;;;EP10;;;;;;;;G14;49;;;8200244640;;;;;;;;ALL;;
-1;;+ BATT PROT/FUS GMV;;5;RG;;;445;595;;;;;H12;67;;;EP10;;;;;;;;E14;25;;;8200382789;;;;;;;;ALL;;
